rate,miles,weight,length,category,comment,origin.city,origin.state,dest.city,dest.state
1000,937,1800,17,good,"Classic case of RPM > $1 per mile, and weight < 50% of a decent amount of miles",Apple valley,CA,Albany,OR
1800,967,7600,32,good,Good RPM this is quick easy money in the trucking world,Vernon,CA,Portland,OR
650,245,4000,15,good,"This is ""good"" for a specific lane, not in a general sense. ",Richland,WA,Longview,WA
500,82,4000,20,good,Really small amount of miles for the rate. Makes this good,Grants pass,OR,Crescent city,CA
1750,884,4000,0,good,"Very good RPM, and load is < 50% weight",Youngstown,OH,Meridian,MS
2700,1548,9850,5,good,"Very good, even though almost 100% weight. The rest makes sense",Commerce,CA,Houston,TX
4000,2769,5300,6,good,"This is good, very easy and always good",Eugene,OR,Augusta,GA
3000,1042,6188,4,good,"Great RPM, and ~60% weight filled. ALLWAYS good",Silvis,IL,Houston,TX
1800,308,9000,0,good,Revenue based on miles like this. ALWAYS GOOD,Arden,NC,Wilmington,NC
300,88,9000,0,good,"Borderline bad, but so little miles make it good",Addison,IL,Milwaukee,WI
2000,781,5000,10,good,"RPM is really good, and 50% weight. Always good with a rate like that and miles lower",Sharonville,OH,Ruston,LA
3150,298,12600,4,good,"Very good, insanely good. since RPM is so high. ",Spokane,WA,Baker city,OR
1350,418,7500,20,good,"Super good, < 1 day of work. more than 1k per day",Lewis run,PA,N haven,CT
2000,1239,6000,8,good,"weight is over 50% but rpm is good, makes it worth it",Caledonia,MI,Colorado spgs,CO
2492,823,9000,18,good,"Even though weight is almost max, the miles are really low compared to rate",Webb city,MO,Beallsville,OH
3700,2758,200,48,good,"This is good ALL THE TIME, crazy low weight compared to rate, and RPM is good for the weight",Auburn,WA,Macon,GA
3000,3003,3600,11,good,"Really good, rate is high, we is low",Norfolk,VA,Bremerton,WA
700,295,515,12,good,"Weight is really small on this, makes it good",Cincinnati,OH,Chicago,IL
2800,2421,500,8,good,"Obviously great, RPM is over $1, and weight is tiny",Sabattus,ME,Bayfield,CO
